"","la_name","age","la_total"
"437","Camden","Age 6",2
"438","Camden","Age 7",1
"439","Camden","Age 8",5
"440","Camden","Age 9",5
"441","Central Bedfordshire","Age 0",0
"442","Central Bedfordshire","Age 1",0
"443","Central Bedfordshire","Age 10",15
"444","Central Bedfordshire","Age 11",12
"445","Central Bedfordshire","Age 12",18
"446","Central Bedfordshire","Age 13",16
"447","Central Bedfordshire","Age 14",21
"448","Central Bedfordshire","Age 15",27
"449","Central Bedfordshire","Age 16",29
"450","Central Bedfordshire","Age 17",21
"451","Central Bedfordshire","Age 18",15
"452","Central Bedfordshire","Age 19 plus",0
"453","Central Bedfordshire","Age 2",0
"454","Central Bedfordshire","Age 3",0
"455","Central Bedfordshire","Age 4",1
"456","Central Bedfordshire","Age 5",3
"457","Central Bedfordshire","Age 6",2
"458","Central Bedfordshire","Age 7",2
"459","Central Bedfordshire","Age 8",1
"460","Central Bedfordshire","Age 9",12
"461","Cheshire East","Age 0",0
"462","Cheshire East","Age 1",0
"463","Cheshire East","Age 10",41
"464","Cheshire East","Age 11",65
"465","Cheshire East","Age 12",60
"466","Cheshire East","Age 13",91
"467","Cheshire East","Age 14",97
"468","Cheshire East","Age 15",78
"469","Cheshire East","Age 16",71
"470","Cheshire East","Age 17",76
"471","Cheshire East","Age 18",83
"472","Cheshire East","Age 19 plus",0
"473","Cheshire East","Age 2",0
"474","Cheshire East","Age 3",0
"475","Cheshire East","Age 4",1
"476","Cheshire East","Age 5",1
"477","Cheshire East","Age 6",21
"478","Cheshire East","Age 7",32
"479","Cheshire East","Age 8",35
"480","Cheshire East","Age 9",33
"481","Cheshire West and Chester","Age 0",0
"482","Cheshire West and Chester","Age 1",0
"483","Cheshire West and Chester","Age 10",6
"484","Cheshire West and Chester","Age 11",26
"485","Cheshire West and Chester","Age 12",25
"486","Cheshire West and Chester","Age 13",34
"487","Cheshire West and Chester","Age 14",42
"488","Cheshire West and Chester","Age 15",46
"489","Cheshire West and Chester","Age 16",15
"490","Cheshire West and Chester","Age 17",14
"491","Cheshire West and Chester","Age 18",10
"492","Cheshire West and Chester","Age 19 plus",0
"493","Cheshire West and Chester","Age 2",0
"494","Cheshire West and Chester","Age 3",0
"495","Cheshire West and Chester","Age 4",3
"496","Cheshire West and Chester","Age 5",2
"497","Cheshire West and Chester","Age 6",7
"498","Cheshire West and Chester","Age 7",11
"499","Cheshire West and Chester","Age 8",11
"500","Cheshire West and Chester","Age 9",15
"501","City of London","Age 0",0
"502","City of London","Age 1",0
"503","City of London","Age 10",0
"504","City of London","Age 11",0
"505","City of London","Age 12",0
"506","City of London","Age 13",2
"507","City of London","Age 14",2
"508","City of London","Age 15",0
"509","City of London","Age 16",1
"510","City of London","Age 17",0
"511","City of London","Age 18",0
"512","City of London","Age 19 plus",0
"513","City of London","Age 2",0
"514","City of London","Age 3",0
"515","City of London","Age 4",0
"516","City of London","Age 5",0
"517","City of London","Age 6",0
"518","City of London","Age 7",0
"519","City of London","Age 8",0
"520","City of London","Age 9",0
"521","Cornwall","Age 0",0
"522","Cornwall","Age 1",0
"523","Cornwall","Age 10",29
"524","Cornwall","Age 11",63
"525","Cornwall","Age 12",56
"526","Cornwall","Age 13",76
"527","Cornwall","Age 14",65
"528","Cornwall","Age 15",51
"529","Cornwall","Age 16",66
"530","Cornwall","Age 17",67
"531","Cornwall","Age 18",18
"532","Cornwall","Age 19 plus",0
"533","Cornwall","Age 2",0
"534","Cornwall","Age 3",0
"535","Cornwall","Age 4",1
"536","Cornwall","Age 5",4
"537","Cornwall","Age 6",2
"538","Cornwall","Age 7",10
"539","Cornwall","Age 8",11
"540","Cornwall","Age 9",29
"541","County Durham","Age 0",0
"542","County Durham","Age 1",0
"543","County Durham","Age 10",8
"544","County Durham","Age 11",13
"545","County Durham","Age 12",23
"546","County Durham","Age 13",11
"547","County Durham","Age 14",25
"548","County Durham","Age 15",28
"549","County Durham","Age 16",34
"550","County Durham","Age 17",24
"551","County Durham","Age 18",25
"552","County Durham","Age 19 plus",57
"553","County Durham","Age 2",0
"554","County Durham","Age 3",0
"555","County Durham","Age 4",0
"556","County Durham","Age 5",1
"557","County Durham","Age 6",3
"558","County Durham","Age 7",3
"559","County Durham","Age 8",9
"560","County Durham","Age 9",11
"561","Coventry","Age 0",0
"562","Coventry","Age 1",0
"563","Coventry","Age 10",7
"564","Coventry","Age 11",21
"565","Coventry","Age 12",16
"566","Coventry","Age 13",15
"567","Coventry","Age 14",36
"568","Coventry","Age 15",36
"569","Coventry","Age 16",44
"570","Coventry","Age 17",19
"571","Coventry","Age 18",12
"572","Coventry","Age 19 plus",0
"573","Coventry","Age 2",0
"574","Coventry","Age 3",0
"575","Coventry","Age 4",1
"576","Coventry","Age 5",2
"577","Coventry","Age 6",3
"578","Coventry","Age 7",6
"579","Coventry","Age 8",4
"580","Coventry","Age 9",8
"581","Croydon","Age 0",0
"582","Croydon","Age 1",0
"583","Croydon","Age 10",21
"584","Croydon","Age 11",62
"585","Croydon","Age 12",50
"586","Croydon","Age 13",80
"587","Croydon","Age 14",67
"588","Croydon","Age 15",98
"589","Croydon","Age 16",41
"590","Croydon","Age 17",28
"591","Croydon","Age 18",16
"592","Croydon","Age 19 plus",79
"593","Croydon","Age 2",0
"594","Croydon","Age 3",0
"595","Croydon","Age 4",20
"596","Croydon","Age 5",9
"597","Croydon","Age 6",24
"598","Croydon","Age 7",29
"599","Croydon","Age 8",18
"600","Croydon","Age 9",22
"601","Cumberland","Age 0",0
"602","Cumberland","Age 1",0
"603","Cumberland","Age 10",5
"604","Cumberland","Age 11",16
"605","Cumberland","Age 12",19
"606","Cumberland","Age 13",18
"607","Cumberland","Age 14",17
"608","Cumberland","Age 15",24
"609","Cumberland","Age 16",24
"610","Cumberland","Age 17",8
"611","Cumberland","Age 18",11
"612","Cumberland","Age 19 plus",10
"613","Cumberland","Age 2",0
"614","Cumberland","Age 3",0
"615","Cumberland","Age 4",0
"616","Cumberland","Age 5",0
"617","Cumberland","Age 6",1
"618","Cumberland","Age 7",1
"619","Cumberland","Age 8",5
"620","Cumberland","Age 9",7
"621","Darlington","Age 0",0
"622","Darlington","Age 1",0
"623","Darlington","Age 10",0
"624","Darlington","Age 11",3
"625","Darlington","Age 12",8
"626","Darlington","Age 13",16
"627","Darlington","Age 14",13
"628","Darlington","Age 15",7
"629","Darlington","Age 16",2
"630","Darlington","Age 17",0
"631","Darlington","Age 18",0
"632","Darlington","Age 19 plus",0
"633","Darlington","Age 2",0
"634","Darlington","Age 3",0
"635","Darlington","Age 4",0
"636","Darlington","Age 5",0
"637","Darlington","Age 6",0
"638","Darlington","Age 7",0
"639","Darlington","Age 8",0
"640","Darlington","Age 9",0
"641","Derby","Age 0",0
"642","Derby","Age 1",0
"643","Derby","Age 10",12
"644","Derby","Age 11",20
"645","Derby","Age 12",17
